IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
192.168.1.31,40061,192.168.1.193,2718,6,0.0,44,1,40,1,22,2,20,4294951,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,37304,192.168.1.195,80,6,7.0,1048,12,1358,10,27,27,27,4294780,187,187,64,64,507,40,40,507,1048.0,1358.0,0,0,0,0,40000,56000,18,0,4,0,0,29200,65535,0,0,0,0,0,0
192.168.1.30,35213,192.168.1.195,62867,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.30,21186,192.168.1.180,65415,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.31,37986,192.168.1.169,80,6,7.0,555,4,595,2,31,30,27,0,0,0,64,64,543,40,40,543,555.0,595.0,0,0,0,0,4440000,4760000,4,0,1,1,0,29200,65535,0,0,0,0,0,0
192.168.1.32,54614,192.168.1.190,80,6,7.0,423,5,919,5,27,27,27,0,0,0,64,64,703,52,52,703,423.0,919.0,0,0,0,0,3384000,7352000,8,1,0,1,0,29200,28960,0,0,0,0,0,0
192.168.1.32,39776,192.168.35.109,80,6,7.0,40,1,0,0,16,16,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,47683,192.168.1.49,2607,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.31,33816,192.168.1.1,53,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,7652,1,0,0
192.168.1.33,60716,192.168.1.152,80,6,7.0,371,3,3752,6,25,25,25,0,0,0,64,64,1500,52,52,1500,371.0,3752.0,0,0,0,0,2968000,30016000,5,0,1,1,2,282,235,0,0,0,0,0,0
192.168.1.190,3040,192.168.1.32,24440,6,0.0,40,1,0,0,20,20,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.32,54120,192.168.1.186,2527,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.31,42752,192.168.1.184,443,6,0.0,1684,14,8954,31,27,26,27,4294361,484,606,64,64,1406,52,52,1406,1684.0,76381316.0,0,0,4873,17,24000,112000,18,15,10,0,2,29200,28960,0,0,0,0,0,0
192.168.1.39,43926,192.168.1.195,80,6,7.0,709,6,1494,5,27,27,27,0,0,0,64,64,923,40,40,923,709.0,1494.0,0,0,0,0,5672000,11952000,8,0,2,1,0,29200,65535,0,0,0,0,0,0
192.168.1.32,56006,192.168.1.1,53,17,0.0,72,1,97,1,0,0,0,4294810,0,0,0,0,97,72,72,97,72.0,97.0,0,0,0,0,576000,776000,2,0,0,0,0,0,0,0,0,2234,12,0,0
192.168.1.31,33623,192.168.1.180,1175,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.34,58889,192.168.1.169,49400,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,60354,192.168.1.195,80,6,7.0,883,14,943,11,27,27,27,4294561,406,406,64,64,507,40,40,507,180703.0,132811.0,0,0,0,0,32000,40000,23,0,2,0,0,29200,65535,0,0,0,0,0,0
192.168.1.30,53676,192.168.1.169,9595,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.30,42324,192.168.1.193,8222,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,43447,192.168.1.180,20707,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.35,36463,192.168.1.1,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,37823,1,2195,0
192.168.1.30,49500,192.168.1.49,6059,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.35,60082,192.168.1.1,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,20903,1,1628,0
192.168.1.39,50198,192.168.1.1,53,17,0.0,65,1,81,1,0,0,0,4294952,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,5582,1,2489,0
192.168.1.38,54696,192.168.1.184,443,6,91.0,276,5,172,3,19,18,19,4294811,156,156,64,64,60,52,52,60,276.0,172.0,0,0,0,0,8000,8000,8,0,0,0,0,29200,28960,0,0,0,0,0,0
192.168.1.31,56592,176.28.50.165,21,6,1.0,4,1,84,1,24,24,0,0,0,0,64,64,105,52,52,105,691.0,617.0,0,0,0,0,3672000,3656000,20,0,0,0,0,0,46,0,0,0,0,0,331
192.168.1.32,60502,192.168.1.180,5904,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.31,35899,192.168.35.61,443,6,91.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.30,2637,192.168.1.152,2637,6,0.0,4000,100,4000,100,22,2,20,0,0,0,71,71,40,40,40,40,4000.0,4000.0,0,0,0,0,32000000,32000000,200,0,0,0,0,74,0,0,0,0,0,0,0
192.168.1.35,50416,192.168.1.1,53,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,1012,1,31,0
192.168.1.30,39460,192.168.1.195,29842,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.30,46858,192.168.1.1,53,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,16757,1,0,0
192.168.1.31,29091,192.168.1.28,3696,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.31,36699,192.168.1.195,7200,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.31,43690,192.168.1.194,80,6,7.0,268,5,240,4,18,18,18,4294936,31,31,64,64,60,52,52,60,268.0,240.0,0,0,0,0,64000,56000,9,0,0,0,0,29200,5792,0,0,0,0,0,0
192.168.1.31,32962,192.168.1.190,80,6,7.0,423,5,917,5,27,27,27,0,0,0,64,64,701,52,52,701,423.0,917.0,0,0,0,0,3384000,7336000,8,1,0,1,0,29200,28960,0,0,0,0,0,0
192.168.1.32,12411,192.168.1.169,39652,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.38,36074,192.168.1.169,80,6,7.0,864,6,352,3,30,30,26,0,0,0,64,64,342,40,40,342,864.0,352.0,0,0,0,0,6912000,2816000,5,2,2,0,0,29200,65535,0,0,0,0,0,0
192.168.1.79,56029,239.255.255.250,15600,17,0.0,63,1,0,0,0,0,0,0,0,0,0,0,63,63,0,63,63.0,0.0,0,0,0,0,504000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.31,53688,192.168.35.229,443,6,91.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,57770,192.168.1.195,14018,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
