fnids_(15277, 40)
Best: 0.8859721853283176 using {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}

0.8525238215610834 (0.013711339584803289) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8566462369645503 (0.009166002633049312) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8576942999631537 (0.009223816899168376) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.816782096982888 (0.03955219510789528) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8859721853283176 (0.002834810255304297) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.885710212423201 (0.014329631082869918) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.6586388719891004 (0.06019614337129811) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8520013538872846 (0.018350353616115988) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8526540689454245 (0.010950209408452835) with: {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.856778647997875 (0.009008699590027468) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8616214728237118 (0.008072955153433349) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8595270391856109 (0.0068463455917660955) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.8848604767739779 (0.00786143086822517) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8751715280931611 (0.007407036101555109) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8768740199312773 (0.008577511649625655) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8491860609592035 (0.013047541557844792) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
