fnids_(15277, 40)
Best: 0.9200115251797328 using {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}

0.9168694355661049 (0.008121505940542206) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.9182435883154387 (0.004178999947977755) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.9200115251797328 (0.00701216037995423) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.8933041490647037 (0.013024487270412072) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.9169990617046985 (0.006407360172469101) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.9177852374872538 (0.004401452786732938) with: {'batch_size': 256, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
0.8574324984361745 (0.013883189804777865) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.8484648160684142 (0.007840562583375418) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.8576303330734099 (0.01053101506758108) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.8018594313673404 (0.009803520060048879) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.8352435283330906 (0.009259406444410773) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.8480723387117506 (0.014428786317976661) with: {'batch_size': 256, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
0.9166725435086246 (0.007847483987727005) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.9188325935510407 (0.004927228233912493) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.9162144711699127 (0.007003768605919215) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.8791627535325318 (0.018320365856211548) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.909407160178576 (0.006405456685403735) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.9169347306364127 (0.007587226254898748) with: {'batch_size': 512, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
0.8174381753369723 (0.007457666181621798) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.8148200101113101 (0.004630727070309833) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.8191401101961423 (0.0034554566560914234) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.7633043204428411 (0.004249228513345704) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.803167967712359 (0.01821673736555485) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.807815400039417 (0.005389363974335243) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
0.9044312602291326 (0.006063544647219143) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.912351457999503 (0.004921434656408451) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.9112394923779574 (0.007483751784134063) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.8530482600834611 (0.02275631148009173) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.898671198190247 (0.004393586268272042) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.8997824997215105 (0.016088705103602132) with: {'batch_size': 1024, 'lr': 0.001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
0.7911889358274564 (0.009102272468373068) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.1}
0.7810451495702694 (0.017061452367417677) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.01}
0.7840526859238567 (0.012820627070671432) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adamw.AdamW'>, 'optimizer__weight_decay': 0.001}
0.7646116999854329 (0.018828227826017042) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.1}
0.770636519824166 (0.01420311405439863) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}
0.7845144428925203 (0.015053829944601483) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}
