IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
192.168.1.190,49281,167.40.110.28,53,17,0.0,72,1,0,0,0,0,0,0,0,0,0,0,72,72,0,72,72.0,0.0,0,0,0,0,576000,0,1,0,0,0,0,0,0,0,0,1290,12,0,0
192.168.1.32,27031,192.168.1.190,19137,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.36,43344,176.28.50.165,80,6,7.0,713,6,538,4,27,27,27,0,0,0,64,64,445,52,52,445,713.0,538.0,0,0,0,0,5704000,4304000,8,0,2,0,0,29200,5792,0,0,0,0,0,0
192.168.1.39,41111,192.168.1.1,53,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,10239,1,20,0
192.168.1.35,48311,192.168.1.1,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,59458,1,2631,0
192.168.1.32,55758,192.168.1.195,80,6,7.0,1173,18,6664,18,27,27,27,4294514,453,453,64,64,1500,40,40,1500,1173.0,6664.0,0,0,0,0,16000,112000,29,0,2,2,3,29200,65535,0,0,0,0,0,0
192.168.1.34,41665,192.168.1.195,5030,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.30,19137,192.168.1.195,65167,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.32,64844,192.168.35.78,443,6,91.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.32,57756,192.168.1.195,7070,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.184,443,192.168.1.30,40806,6,91.0,112,2,164,3,19,19,18,4294311,656,656,64,64,60,52,52,60,112.0,164.0,0,0,0,0,0,0,5,0,0,0,0,28960,29200,0,0,0,0,0,0
192.168.1.38,44204,192.168.1.194,80,6,7.0,268,5,240,4,18,18,18,4294952,15,15,64,64,60,52,52,60,268.0,240.0,0,0,0,0,128000,120000,9,0,0,0,0,29200,5792,0,0,0,0,0,0
192.168.1.30,25645,192.168.1.195,19916,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.32,10660,192.168.1.180,39768,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.32,60942,192.168.1.195,5214,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
172.17.0.8,59615,192.168.1.190,53,17,0.0,118,2,268,2,0,0,0,0,0,0,64,64,134,59,59,134,118.0,268.0,0,0,0,0,944000,2144000,2,2,0,0,0,0,0,0,0,61713,1,5837,0
192.168.1.32,61469,192.168.1.194,64656,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.31,21283,192.168.1.180,1208,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.39,36196,18.194.169.124,80,6,7.0,2719,7,1518,4,27,27,27,0,0,0,64,64,1500,52,52,1500,2719.0,1518.0,0,0,0,0,21752000,12144000,8,0,0,1,2,29200,26847,0,0,0,0,0,0
192.168.1.38,57320,192.168.1.184,443,6,0.0,1153,10,2215,8,31,31,27,0,0,0,64,64,1408,40,40,1408,1153.0,2215.0,0,0,0,0,9224000,17720000,13,1,3,0,1,29200,28960,0,0,0,0,0,0
192.168.1.31,48434,192.168.1.186,3372,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.30,45622,192.168.1.195,23322,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
192.168.1.30,50361,192.168.1.186,2126,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0
192.168.1.190,1720,192.168.1.32,55249,6,158.0,40,1,0,0,20,20,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.32,55784,192.168.1.180,40876,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0
